dlist,elist,genus_jw,se_jw,gender_switch
Flindersia maculata,Flindersia maculata,1.0,1.0,False
Floscopa paniculatus,Floscopa paniculata,1.0,0.990606060606,True
Forsythia sieboldii,Forsythia sieboldii,1.0,1.0,False
Frankenia berteroana,Frankenia berteroana,1.0,1.0,False
Fraxinus eedenii,Fraxinus eedenii,1.0,1.0,False
Fraxinus verrucosa,Fraxinus verrucosa,1.0,1.0,False
Fraxinus atrovirens,Fraxinus atrovirens,1.0,1.0,False
Fumaria platycarpa,Fumaria platycalyx,1.0,0.94,False
Fusanus compressus,Fusanus compressus,1.0,1.0,False
Gaultheria pilosa,Gaultheria pilosa,1.0,1.0,False
Gentiana minima,Gentiana minima,1.0,1.0,False
Gentiana firma,Gentiana firma,1.0,1.0,False
Geranium emarginatum,Geranium marginatum,1.0,0.969696969697,False
Geunsia acuminatissima,Geunsia acuminatissima,1.0,1.0,False
Gifola spatulata,Gifola spathulata,1.0,0.98,False
Gossypium javanicum,Gossypium javanicum,1.0,1.0,False
Grewia nervosa,Grewia nervosa,1.0,1.0,False
Grias fendlerii,Grias fendleri,1.0,0.992592592593,True
Griffithia eucantha,Griffithia eucantha,1.0,1.0,False
Guapira rotundata,Guapira rotundata,1.0,1.0,False
Guarea rusbyi,Guarea rusbyi,1.0,1.0,False
Guatteria prinoides,Guatteria prinoides,1.0,1.0,False
Gymnosporia goetzeana,Gymnosporia goetzeana,1.0,1.0,False
Gymnosporia fournieri,Gymnosporia fournieri,1.0,1.0,False
Gypsophila arenicola,Gypsophila arenicola,1.0,1.0,False
Haloragis aenea,Haloragis aenea,1.0,1.0,False
Hammada hispanica,Hammada hispanica,1.0,1.0,False
Hartiana tenella,Hartiana tenella,1.0,1.0,False
Hebecoccus ferrugineus,Hebecoccus ferrugineus,1.0,1.0,False
Helleborus foetida,Helleborus foetidus,1.0,0.947619047619,True
Helleborus latifolius,Helleborus altifolius,1.0,0.966666666667,False
Hemizonia macrocephala,Hemizonia macrocephala,1.0,1.0,False
Hesperocyparis benthamii,Hesperocyparis benthamii,1.0,1.0,False
Hesperocyparis glabra,Hesperocyparis glabra,1.0,1.0,False
Heteropteris platyptera,Heteropterys platyptera,1.0,1.0,False
Hewittia bicolor,Hewittia bicolor,1.0,1.0,False
Hibiscus verrucosus,Hibiscus verrucosus,1.0,1.0,False
Hibiscus richardsonii,Hibiscus richardsonii,1.0,1.0,False
Hieracium atramentosum,Hieracium atramentarium,1.0,0.973504273504,False
Hippocratea hilariana,Hippocratea hilariana,1.0,1.0,False
Hocquartia manshuriensis,Hocquartia manshuriensis,1.0,1.0,False
Holboellia cuneata,Holboellia cuneata,1.0,1.0,False
Hoslundia verticillata,Hoslundia verticillata,1.0,1.0,False
Hoteia japonica,Hoteia japonica,1.0,1.0,False
Humea ozothamnoides,Humea ozothamnoides,1.0,1.0,False
Hydrangea lehmannii,Hydrangea lehmannii,1.0,1.0,False
Hyoscyamus minor,Hyoscyamus minor,1.0,1.0,False
Hypericum venosum,Hypericum venosum,1.0,1.0,False
Ilex dahoon,Ilex dahoon,1.0,1.0,False
Ilex othera,Ilex othera,1.0,1.0,False
Isanthus coeruleus,Isanthus coeruleus,1.0,1.0,False
Iseilema membranacea,Iseilema membranaceum,1.0,1.0,True
Isnardia microcarpa,Isnardia microcarpa,1.0,1.0,False
Ixora valetoniana,Ixora valetoniana,1.0,1.0,False
Jaracatia corumbensis,Jacaratia corumbensis,0.97037037037,1.0,False
Jateorhiza strigosa,Jateorhiza strigosa,1.0,1.0,False
Juncella submersa,Juncella submersa,1.0,1.0,False
Juncoides subcongestum,Juncoides subcongesta,1.0,1.0,True
Juncus loureiranus,Juncus loureiroana,1.0,0.963636363636,False
Juncus angustifolius,Juncus angustifolius,1.0,1.0,False
Juncus strictus,Juncus strictus,1.0,1.0,False
Juncus plebeius,Juncus plebeius,1.0,1.0,False
Juncus campestre,Juncus campestris,1.0,0.979259259259,True
Juncus prolifer,Juncus prolifer,1.0,1.0,False
Juncus trichodes,Juncus trichodes,1.0,1.0,False
Juncus divaricatus,Juncus divaricatus,1.0,1.0,False
Juniperus hibernica,Juniperus hibernica,1.0,1.0,False
Kalaharia spinescens,Kalaharia spinescens,1.0,1.0,False
Klainedoxa lanceifolia,Klainedoxa lanceifolia,1.0,1.0,False
Kohlrauschia saxifraga,Kohlrauschia saxifraga,1.0,1.0,False
Krameria cistoides,Krameria cistoidea,1.0,0.985185185185,False
Lachnostachys walcottii,Lachnostachys walcottii,1.0,1.0,False
Lachnostachys rodwayana,Lachnostachys rodwayana,1.0,1.0,False
Lagenaria idolatrica,Lagenaria idolatrica,1.0,1.0,False
Lasjia claudiensis,Lasjia claudiensis,1.0,1.0,False
Lasjia hildebrandii,Lasjia hildebrandii,1.0,1.0,False
Laurus barbujana,Laurus barbujana,1.0,1.0,False
Leea nova-guineensis,Leea novoguineensis,1.0,0.952222222222,False
Leersia aspera,Leersia asperrima,1.0,0.944444444444,False
Leiospermum racemosum,Leiospermum racemosum,1.0,1.0,False
Leontodon vulgaris,Leontodon vulgare,1.0,0.947619047619,True
Lepidium eremaeum,Lepidium eraemeum,1.0,0.95,False
Leptalix expansa,Leptalix expansa,1.0,1.0,False
Leucospermum album,Leucospermum album,1.0,1.0,False
Leucothoe salicifolia,Leucothoe salicifolia,1.0,1.0,False
Ligustrum chenaultii,Ligustrum chenaultii,1.0,1.0,False
Ligustrum simonii,Ligustrum simonii,1.0,1.0,False
Lilium rhodopeum,Lilium rhodopaeum,1.0,0.986666666667,False
Liparis terrestris,Liparis terrestris,1.0,1.0,False
Lippia caffra,Lippia caffra,1.0,1.0,False
Lithospermum euchromon,Lithospermum euchromon,1.0,1.0,False
Lobelia micrantha,Lobelia micrantha,1.0,1.0,False
Lobelia parvifolia,Lobelia parvifolia,1.0,1.0,False
Loranthus namaquensis,Loranthus namaquensis,1.0,1.0,False
Lupinus lucidus,Lupinus lucidulus,1.0,0.97037037037,False
Luzuriaga laxifolia,Luzuriaga laxiflora,1.0,0.94212962963,False
Maba ebenus,Maba ebenus,1.0,1.0,False
Maba papuana,Maba papuana,1.0,1.0,False
Machaerium mucronulatum,Machaerium mucronatum,1.0,0.957777777778,False
Maclura regia,Maclura regia,1.0,1.0,False
Macroscepis trianae,Macroscepis trianae,1.0,1.0,False
Mahernia erodioides,Mahernia erodioides,1.0,1.0,False
Maihuenia brachydelphys,Maihuenia brachydelphys,1.0,1.0,False
Malaxis mambulilingensis,Malaxis mambulilingensis,1.0,1.0,False
Malleola baliensis,Malleola baliensis,1.0,1.0,False
Malva punctata,Malva punctata,1.0,1.0,False
Malva setigera,Malva setigera,1.0,1.0,False
Malva subovata,Malva subovata,1.0,1.0,False
Marlea platanifolia,Marlea platanifolia,1.0,1.0,False
Marlea vitiensis,Marlea vitiensis,1.0,1.0,False
Marsilea microphylla,Marsilea microphylla,1.0,1.0,False
Matthiola elliptica,Matthiola elliptica,1.0,1.0,False
Maytenus sebertiana,Maytenus sebertiana,1.0,1.0,False
Maytenus pancheriana,Maytenus pancheriana,1.0,1.0,False
Maytenus hybanthifolia,Maytenus hybanthifolia,1.0,1.0,False
Meisneria paludosa,Meisneria paludosa,1.0,1.0,False
Melastoma arborescens,Melastoma arborescens,1.0,1.0,False
Melia sambucina,Melia sambucina,1.0,1.0,False
Melia parviflora,Melia parviflora,1.0,1.0,False
Melodinus tonkinensis,Melodinus tonkinensis,1.0,1.0,False
Mentha pumila,Mentha pumila,1.0,1.0,False
Menziesia daboeci,Menziesia daboecia,1.0,0.9875,False
Merremia pentaphylla,Merremia pentaphylla,1.0,1.0,False
Micropterum sessiliflorum,Micropterum sessiliflorum,1.0,1.0,False
Minuartia diomedis,Minuartia diomedis,1.0,1.0,False
Mischophloeus paniculata,Mischophloeus paniculatus,1.0,0.990606060606,True
Mitrastemon cochinchinensis,Mitrastemon cochinchinensis,1.0,1.0,False
Mohrodendron carolinum,Mohrodendron carolinum,1.0,1.0,False
Mollugo serrulata,Mollugo serrulata,1.0,1.0,False
Momordica umbellata,Momordica umbellata,1.0,1.0,False
Mouriria sagotiana,Mouriri sagotiana,0.9875,1.0,False
Nabalus bootii,Nabalus boottii,1.0,0.971428571429,False
Nelumbium rheedei,Nelumbium rheedii,1.0,0.952380952381,False
Neoalsomitra stephensiana,Neoalsomitra stephensiana,1.0,1.0,False
Nepenthes muluensis,Nepenthes muluensis,1.0,1.0,False
Nepenthes tomoriana,Nepenthes tomoriana,1.0,1.0,False
Nepenthes pilosa,Nepenthes pilosa,1.0,1.0,False
Nepenthes longifolia,Nepenthes longifolia,1.0,1.0,False
Nepeta minor,Nepeta minor,1.0,1.0,False
Nephelium chinense,Nephelium chinense,1.0,1.0,False
Nephelium glabrum,Nephelium glabrum,1.0,1.0,False
Nestronia umbellata,Nestronia umbellula,1.0,0.940740740741,False
Neurophyllodes arborea,Neurophyllodes arborea,1.0,1.0,False
Neurophyllodes multiflora,Neurophyllodes multiflora,1.0,1.0,False
Nolana lanceolata,Nolana lanceolata,1.0,1.0,False
Nototrichum humile,Nototrichium humile,0.997222222222,1.0,False
Oberna lacera,Oberna lacera,1.0,1.0,False
Obione cristata,Obione cristata,1.0,1.0,False
Ocimum caryophyllinum,Ocimum caryophyllinum,1.0,1.0,False
Ocimum dalabaense,Ocimum dalabaense,1.0,1.0,False
Olea latifolia,Olea latifolia,1.0,1.0,False
Olea thozetii,Olea thozettii,1.0,0.985185185185,False
Olea ilicifolia,Olea ilicifolia,1.0,1.0,False
Ophiocaulon gummifer,Ophiocaulon gummifer,1.0,1.0,False
Oreocallis wickhami,Oreocallis wickhamii,1.0,0.992592592593,True
Ornithogalum aserni,Ornithogalum asernii,1.0,0.980952380952,True
Osmanthus sinensis,Osmanthus sinensis,1.0,1.0,False
Osmunda spicata,Osmunda spicant,1.0,0.952380952381,False
Ostryocarpus welwitschii,Ostryocarpus welwitschii,1.0,1.0,False
Pachira marginata,Pachira marginata,1.0,1.0,False
Parakeelya pytchosperma,Parakeelya pytchosperma,1.0,1.0,False
Peperomia pseudodindygulensis,Peperomia pseudodindygulensis,1.0,1.0,False
Peperomia laticaulis,Peperomia laticaulis,1.0,1.0,False
Peponium kilimandscharicum,Peponium kilimandscharicum,1.0,1.0,False
Peponium usambarense,Peponium usambarense,1.0,1.0,False
Persicaria hartwrightii,Persicaria hartwrightii,1.0,1.0,False
Petrosedum sediforme,Petrosedum sediforme,1.0,1.0,False
Peumus fragrans,Peumus fragrans,1.0,1.0,False
Pharnaceum scleranthoides,Pharnaceum scleranthoides,1.0,1.0,False
Phillyrea variabilis,Phillyrea variabilis,1.0,1.0,False
Phillyrea buxifolia,Phillyrea buxifolia,1.0,1.0,False
Physianthus albens,Physianthus albens,1.0,1.0,False
Pichonia novo-caledonica,Pichonia novocaledonica,1.0,0.986666666667,False
Pilogyne bodinieri,Pilogyne bodinieri,1.0,1.0,False
Pinus aracanensis,Pinus aracanensis,1.0,1.0,False
Piper tiliifolium,Piper tiliifolium,1.0,1.0,False
Pircunia esculenta,Pircunia esculenta,1.0,1.0,False
Pitcairnia lindeni,Pitcairnia lindenii,1.0,0.9875,True
Plagiopteron suaveolens,Plagiopteron suaveolens,1.0,1.0,False
Plectronia dicocca,Plectronia dicocca,1.0,1.0,False
Plectronia hookeriana,Plectronia hookeriana,1.0,1.0,False
Plectronia parvifolia,Plectronia parviflora,1.0,0.958518518519,False
Plectronia zanzibarica,Plectronia zanzibarica,1.0,1.0,False
Podocarpus acutifolia,Podocarpus acutifolius,1.0,0.990606060606,True
Polypodium eleagnifolium,Polypodium eleagnifolium,1.0,1.0,False
Polypodium lycopodiodes,Polypodium lycopodioides,1.0,0.997435897436,False
Populus woobstii,Populus wobstii,1.0,0.966666666667,False
Potamogeton wolfgangii,Potamogeton wolfgangii,1.0,1.0,False
Potamogeton affinis,Potamogeton affinis,1.0,1.0,False
Potentilla polymorpha,Potentilla polymorpha,1.0,1.0,False
Prostanthera latifolia,Prostanthera latifolia,1.0,1.0,False
Protium titubans,Protium titubans,1.0,1.0,False
Prunus amygdalina,Prunus amygdalus,1.0,0.947777777778,False
Psephellus gilanicus,Psephellus gilanicus,1.0,1.0,False
Pseudocassine transvaalensis,Pseudocassine transvaalensis,1.0,1.0,False
Pseuduvaria brachyantha,Pseuduvaria brachyantha,1.0,1.0,False
Psychotria pallida,Psychotria pallida,1.0,1.0,False
Psychotria mollipes,Psychotria mollis,1.0,0.958333333333,False
Pterostyrax cavaleriei,Pterostyrax cavaleriei,1.0,1.0,False
Pulmonaria media,Pulmonaria media,1.0,1.0,False
Pycnarrhena calocarpa,Pycnarrhena calocarpa,1.0,1.0,False
Quercus buergerii,Quercus buergeri,1.0,0.992592592593,True
Quercus dugesi,Quercus dugesii,1.0,0.980952380952,True
Rabdosia javanica,Rabdosia javanica,1.0,1.0,False
Rauvolfia madurensis,Rauvolfia madurensis,1.0,1.0,False
Reevesia orbicularifolia,Reevesia orbicularifolia,1.0,1.0,False
Rhamnus splendens,Rhamnus splendens,1.0,1.0,False
Rhizophora candel,Rhizophora candel,1.0,1.0,False
Rhus cotina,Rhus cotina,1.0,1.0,False
Ribes scandicum,Ribes scandicum,1.0,1.0,False
Ribes tricuspe,Ribes tricuspe,1.0,1.0,False
Ricinocarpodendron polystachyum,Ricinocarpodendron polystachyum,1.0,1.0,False
Rivina paniculata,Rivina paniculata,1.0,1.0,False
Rivina paraguayensis,Rivina paraguayensis,1.0,1.0,False
Rochea versicolor,Rochea versicolor,1.0,1.0,False
Rosa triphylla,Rosa triphylla,1.0,1.0,False
Rosa cathayensis,Rosa cathayensis,1.0,1.0,False
Rubus polymorphus,Rubus polymorphus,1.0,1.0,False
Ruprechtia excelsa,Ruprechtia excelsa,1.0,1.0,False
Sabaudiella aloysii,Sabaudiella aloysii,1.0,1.0,False
Sabulina tenella,Sabulina tenella,1.0,1.0,False
Sabulina verna,Sabulina verna,1.0,1.0,False
Saccharum soltwedeli,Saccharum soltwedelii,1.0,1.0,True
Salacia simtata,Salacia simtata,1.0,1.0,False
Salacia calypso,Salacia calypso,1.0,1.0,False
Salix glaucoides,Salix glaucoides,1.0,1.0,False
Salix pratensis,Salix pratensis,1.0,1.0,False
Salix tauschiana,Salix tauschiana,1.0,1.0,False
Salix normanni,Salix normannii,1.0,0.992592592593,True
Salix marrubiifolia,Salix marrubiifolia,1.0,1.0,False
Samadera bidwillii,Samadera bidwillii,1.0,1.0,False
Samadera baileyana,Samadera baileyana,1.0,1.0,False
Saponaria hispanica,Saponaria hispanica,1.0,1.0,False
Sarcochilus hartmanni,Sarcochilus hartmannii,1.0,0.996666666667,True
Sassafras mauritianum,Sassafras mauritianum,1.0,1.0,False
Scabiosa leucanthema,Scabiosa leucantha,1.0,0.987878787879,False
Scaevola stricta,Scaevola stricta,1.0,1.0,False
Schizanthus humilis,Schizanthus humilis,1.0,1.0,False
Schmaltzia lanceolata,Schmaltzia lanceolata,1.0,1.0,False
Schoberia macrocarpa,Schoberia macrocarpa,1.0,1.0,False
Sclerostylis macrophylla,Sclerostylis macrophylla,1.0,1.0,False
Scytanthus americanus,Scytanthus americanus,1.0,1.0,False
Sebifera glutinosa,Sebifera glutinosa,1.0,1.0,False
Sedum maritimum,Sedum maritimum,1.0,1.0,False
Semonvillea pterocarpa,Semonvillea pterocarpa,1.0,1.0,False
Sempervivum dichotomum,Sempervivum dichotomum,1.0,1.0,False
Sempervivum youngianum,Sempervivum youngianum,1.0,1.0,False
Sempervivum laxum,Sempervivum laxum,1.0,1.0,False
Sesuvium quadrifidum,Sesuvium quadrifidum,1.0,1.0,False
Spergula micrantha,Spergula micrantha,1.0,1.0,False
Spergularia tenuis,Spergularia tenuis,1.0,1.0,False
Spirostachys africanus,Spirostachys africana,1.0,0.965277777778,True
Stachyurus brachystachyus,Stachyurus brachystachyus,1.0,1.0,False
Steganthus welwitschii,Steganthus welwitschii,1.0,1.0,False
Stellaria gracilis,Stellaria gracilis,1.0,1.0,False
Stemonurus javanicus,Stemonurus javanicus,1.0,1.0,False
Stemonurus pauciflorus,Stemonurus pauciflorus,1.0,1.0,False
Stevia odorata,Stevia odorata,1.0,1.0,False
Strophanthus longicaudatus,Strophanthus longicaudatus,1.0,1.0,False
Stuckenia subretusa,Stuckenia subretusa,1.0,1.0,False
Stylophorum lactucoides,Stylophorum lactucoides,1.0,1.0,False
Styphelia parviflora,Styphelia parviflora,1.0,1.0,False
Succisa corniculata,Succisa corniculata,1.0,1.0,False
Succisa arvensis,Succisa arvensis,1.0,1.0,False
Succisa columbaria,Succisa columbaria,1.0,1.0,False
Suttonia nummularia,Suttonia nummularia,1.0,1.0,False
Swida pumila,Swida pumila,1.0,1.0,False
Swida koehneana,Swida koehneana,1.0,1.0,False
Symplocos javanica,Symplocos javanica,1.0,1.0,False
Symplocos ascidiformis,Symplocos ascidiformis,1.0,1.0,False
Syringa lilac,Syringa lilac,1.0,1.0,False
Tabernaemontana aubletii,Tabernaemontana aubletii,1.0,1.0,False
Talinum roseum,Talinum roseum,1.0,1.0,False
Tarasa nototrichoides,Tarasa nototrichoides,1.0,1.0,False
Tecoma conspicua,Tecoma conspicua,1.0,1.0,False
Tecoma flavescens,Tecoma flavescens,1.0,1.0,False
Teijsmanniodendron kostermansi,Teijsmanniodendron kostermansii,1.0,1.0,True
Tetrapteris mogoriifolia,Tetrapterys mogoriifolia,0.993939393939,1.0,False
Thalictrum vitifolium,Thalictrum vitifolium,1.0,1.0,False
Thymelaea gnidium,Thymelaea gnidium,1.0,1.0,False
Thymus concinnus,Thymus concinnus,1.0,1.0,False
Thymus reflexus,Thymus reflexus,1.0,1.0,False
Tinospora tomentosa,Tinospora tomentosa,1.0,1.0,False
Trema guinensis,Trema guineensis,1.0,0.983333333333,False
Trevoa frutilla,Trevoa frutilla,1.0,1.0,False
Trianthema hydaspica,Trianthema hydaspica,1.0,1.0,False
Trichilia guara,Trichilia guara,1.0,1.0,False
Trichomanes plicatum,Trichomanes plicatum,1.0,1.0,False
Ulmus turkestanica,Ulmus turkestanica,1.0,1.0,False
Utricularia grafiana,Utricularia grafiana,1.0,1.0,False
Vallaris gitingensis,Vallaris gitingensis,1.0,1.0,False
Verbena longiflora,Verbena longiflora,1.0,1.0,False
Veronica pauciramosa,Veronica pauciramosa,1.0,1.0,False
Veronica raoulii,Veronica raoulii,1.0,1.0,False
Veronica linifolia,Veronica linifolia,1.0,1.0,False
Veronica decora,Veronica decora,1.0,1.0,False
Veronica spathulata,Veronica spathulata,1.0,1.0,False
Viburnum pinnina,Viburnum pinnina,1.0,1.0,False
Viola miranda,Viola miranda,1.0,1.0,False
Vitex velutina,Vitex velutina,1.0,1.0,False
Vitis modesta,Vitis modesta,1.0,1.0,False
Vitis glauca,Vitis glauca,1.0,1.0,False
Vitis triternata,Vitis triternata,1.0,1.0,False
Vitis tricuspidata,Vitis tricuspidata,1.0,1.0,False
Vitis cyphopetala,Vitis cyphopetala,1.0,1.0,False
Vitis vitacea,Vitis vitacea,1.0,1.0,False
Vitis producta,Vitis producta,1.0,1.0,False
Vitis aconitifolia,Vitis aconitifolia,1.0,1.0,False
Vitis aralioides,Vitis aralioides,1.0,1.0,False
Volkameria heterophylla,Volkameria heterophylla,1.0,1.0,False
Wallenia angustifolia,Wallenia angustifolia,1.0,1.0,False
Wedelia glabra,Wedelia glabra,1.0,1.0,False
Xylosma parvifolia,Xylosma parvifolia,1.0,1.0,False
Ziziphus ornata,Ziziphus ornata,1.0,1.0,False
Ziziphus nitida,Ziziphus nitida,1.0,1.0,False
